name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url,metadata_profile
Router 40,The North Face,"135,96 €",135.96,159.95,15.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-5254-0611_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-router-40-daypack/,Brand: The North Face. Product Name: Router 40. Category: rucksaecke. Priced at 135.96 EUR with a 15.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Alpinisto 30,Gregory,"170,95 €",170.95,170.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_503-1103-0111_pic1_1.jpg,https://www.bergfreunde.de/gregory-alpinisto-30-tourenrucksack/,Brand: Gregory. Product Name: Alpinisto 30. Category: rucksaecke. Priced at 170.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Futura Pro 32,Deuter,"186,86 €",186.86,209.95,11.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-1311-0211_pic1_1.jpg,https://www.bergfreunde.de/deuter-futura-pro-32-wanderrucksack/,Brand: Deuter. Product Name: Futura Pro 32. Category: rucksaecke. Priced at 186.86 EUR with a 11.0% discount. New release product with no customer feedback evaluations available yet.
Black Hole Pack 32L,Patagonia,"169,95 €",169.95,169.95,0.0,4.3,7,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-1532-1911_pic1_1.jpg,https://www.bergfreunde.de/patagonia-black-hole-pack-32l-daypack/,Brand: Patagonia. Product Name: Black Hole Pack 32L. Category: rucksaecke. Priced at 169.95 EUR with a 0.0% discount. This highly rated gear scored 4.3 out of 5 based on 7 customer reviews.
Verglas 40,Exped,"ab 202,36 €",202.36,229.95,12.0,4.8,4,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-5507-0311_pic1_1.jpg,https://www.bergfreunde.de/exped-verglas-40-wanderrucksack/,Brand: Exped. Product Name: Verglas 40. Category: rucksaecke. Priced at 202.36 EUR with a 12.0% discount. This highly rated gear scored 4.8 out of 5 based on 4 customer reviews.
Kid's Leon 20,Namuk,"98,95 €",98.95,98.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_508-0625-0311_pic1_1.jpg,https://www.bergfreunde.de/namuk-kids-leon-20-kinderrucksack/,Brand: Namuk. Product Name: Kid's Leon 20. Category: rucksaecke. Priced at 98.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Brenta 36+6,Vaude,"ab 151,26 €",151.26,169.95,11.0,4.9,15,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9676-0211_pic1_1.jpg,https://www.bergfreunde.de/vaude-brenta-36-6-wanderrucksack/,Brand: Vaude. Product Name: Brenta 36+6. Category: rucksaecke. Priced at 151.26 EUR with a 11.0% discount. This highly rated gear scored 4.9 out of 5 based on 15 customer reviews.
Boondocker Recycled Backpack 26,Passenger,"74,35 €",74.35,74.35,0.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9711-0311_pic1_1.jpg,https://www.bergfreunde.de/passenger-boondocker-recycled-backpack-26-daypack/,Brand: Passenger. Product Name: Boondocker Recycled Backpack 26. Category: rucksaecke. Priced at 74.35 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Women's Tempest 26,Osprey,"133,46 €",133.46,149.95,11.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-0337-0211_pic1_1.jpg,https://www.bergfreunde.de/osprey-womens-tempest-26-wanderrucksack/,Brand: Osprey. Product Name: Women's Tempest 26. Category: rucksaecke. Priced at 133.46 EUR with a 11.0% discount. New release product with no customer feedback evaluations available yet.
Norrøna 15L Pack,Norrøna,"128,95 €",128.95,128.95,0.0,3.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-6513-0111_pic1_1.jpg,https://www.bergfreunde.de/norroena-norroena-15l-pack-daypack/,Brand: Norrøna. Product Name: Norrøna 15L Pack. Category: rucksaecke. Priced at 128.95 EUR with a 0.0% discount. This highly rated gear scored 3.0 out of 5 based on 1 customer reviews.
Women's Brenta 28,Vaude,"ab 133,46 €",133.46,149.95,11.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9685-0311_pic1_1.jpg,https://www.bergfreunde.de/vaude-womens-brenta-28-wanderrucksack/,Brand: Vaude. Product Name: Women's Brenta 28. Category: rucksaecke. Priced at 133.46 EUR with a 11.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Pack Trail Protect Airflex FR' 20,Scott,"89,98 €",89.98,199.95,55.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-5721-0211_pic1_1.jpg,https://www.bergfreunde.de/scott-pack-trail-protect-airflex-fr-20-bike-rucksack/,Brand: Scott. Product Name: Pack Trail Protect Airflex FR' 20. Category: rucksaecke. Priced at 89.98 EUR with a 55.0% discount. New release product with no customer feedback evaluations available yet.
Aether 55,Osprey,"ab 253,61 €",253.61,279.95,9.41,5.0,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_505-0615-0411_pic1_1.jpg,https://www.bergfreunde.de/osprey-aether-55-trekkingrucksack/,Brand: Osprey. Product Name: Aether 55. Category: rucksaecke. Priced at 253.61 EUR with a 9.41% discount. This highly rated gear scored 5.0 out of 5 based on 3 customer reviews.
Rolltop Rucksack Large W3 23,Rains,"123,67 €",123.67,138.95,11.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9575-0411_pic1_1.jpg,https://www.bergfreunde.de/rains-rolltop-rucksack-large-w3-23-daypack/,Brand: Rains. Product Name: Rolltop Rucksack Large W3 23. Category: rucksaecke. Priced at 123.67 EUR with a 11.0% discount. New release product with no customer feedback evaluations available yet.
Travel Pack Proof 38,AEVOR,"ab 133,46 €",133.46,149.95,11.0,3.8,4,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-5656-1011_pic1_1.jpg,https://www.bergfreunde.de/aevor-travel-pack-proof-38-reiserucksack/,Brand: AEVOR. Product Name: Travel Pack Proof 38. Category: rucksaecke. Priced at 133.46 EUR with a 11.0% discount. This highly rated gear scored 3.8 out of 5 based on 4 customer reviews.
Prolighter 30+10,Millet,"169,95 €",169.95,169.95,0.0,5.0,1,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_503-1183-0211_pic1_1.jpg,https://www.bergfreunde.de/millet-prolighter-30-10-tourenrucksack/,Brand: Millet. Product Name: Prolighter 30+10. Category: rucksaecke. Priced at 169.95 EUR with a 0.0% discount. This highly rated gear scored 5.0 out of 5 based on 1 customer reviews.
Shell 20-42,Tropicfeel,"188,95 €",188.95,188.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-9614-0511_pic1_1.jpg,https://www.bergfreunde.de/tropicfeel-shell-20-42-reiserucksack/,Brand: Tropicfeel. Product Name: Shell 20-42. Category: rucksaecke. Priced at 188.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Talon 33,Osprey,"158,05 €",158.05,158.05,0.0,4.8,15,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-0326-0311_pic1_1.jpg,https://www.bergfreunde.de/osprey-talon-33-wanderrucksack/,Brand: Osprey. Product Name: Talon 33. Category: rucksaecke. Priced at 158.05 EUR with a 0.0% discount. This highly rated gear scored 4.8 out of 5 based on 15 customer reviews.
Shelter Pro Lite 30-54,Tropicfeel,"268,95 €",268.95,268.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-0558-0111_pic1_1.jpg,https://www.bergfreunde.de/tropicfeel-shelter-pro-lite-30-54-reiserucksack/,Brand: Tropicfeel. Product Name: Shelter Pro Lite 30-54. Category: rucksaecke. Priced at 268.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Norrøna 20L Pack,Norrøna,"138,95 €",138.95,138.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-6514-0111_pic1_1.jpg,https://www.bergfreunde.de/norroena-norroena-20l-pack-daypack/,Brand: Norrøna. Product Name: Norrøna 20L Pack. Category: rucksaecke. Priced at 138.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Women's Jade 33,Gregory,"177,96 €",177.96,199.95,11.0,5.0,4,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-7539-0411_pic1_1.jpg,https://www.bergfreunde.de/gregory-womens-jade-33-wanderrucksack/,Brand: Gregory. Product Name: Women's Jade 33. Category: rucksaecke. Priced at 177.96 EUR with a 11.0% discount. This highly rated gear scored 5.0 out of 5 based on 4 customer reviews.
Veil XP 30,Rab,"154,65 €",154.65,154.65,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-1036-0111_pic1_1.jpg,https://www.bergfreunde.de/rab-veil-xp-30-wanderrucksack/,Brand: Rab. Product Name: Veil XP 30. Category: rucksaecke. Priced at 154.65 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Women's Amber 34 RC,Gregory,"163,75 €",163.75,163.75,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-8246-0311_pic1_1.jpg,https://www.bergfreunde.de/gregory-womens-amber-34-rc-wanderrucksack/,Brand: Gregory. Product Name: Women's Amber 34 RC. Category: rucksaecke. Priced at 163.75 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Clase 28 Daypack,Cotopaxi,"132,95 €",132.95,132.95,0.0,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-1262-0211_pic1_1.jpg,https://www.bergfreunde.de/cotopaxi-clase-28-daypack-daypack/,Brand: Cotopaxi. Product Name: Clase 28 Daypack. Category: rucksaecke. Priced at 132.95 EUR with a 0.0% discount. New release product with no customer feedback evaluations available yet.
Women's Alptrek 38,Salewa,"ab 186,86 €",186.86,209.95,11.0,4.7,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_502-4728-0411_pic1_1.jpg,https://www.bergfreunde.de/salewa-womens-alptrek-38-wanderrucksack/,Brand: Salewa. Product Name: Women's Alptrek 38. Category: rucksaecke. Priced at 186.86 EUR with a 11.0% discount. This highly rated gear scored 4.7 out of 5 based on 3 customer reviews.
Kid's Senja Pack 15,Trollkids,"44,46 €",44.46,49.95,10.99,0.0,0,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_504-0539-0111_pic1_1.jpg,https://www.bergfreunde.de/trollkids-kids-senja-pack-15-daypack/,Brand: Trollkids. Product Name: Kid's Senja Pack 15. Category: rucksaecke. Priced at 44.46 EUR with a 10.99% discount. New release product with no customer feedback evaluations available yet.
Padje Light 60,Lundhags,"244,71 €",244.71,274.95,11.0,4.7,3,rucksaecke,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_505-0765-0111_pic1_1.jpg,https://www.bergfreunde.de/lundhags-padje-light-60-trekkingrucksack/,Brand: Lundhags. Product Name: Padje Light 60. Category: rucksaecke. Priced at 244.71 EUR with a 11.0% discount. This highly rated gear scored 4.7 out of 5 based on 3 customer reviews.
